,Algorithm,Graph name,K,Time taken,Found result
108,Kernelization,Karate Club,11,67509100,True
109,Kernelization,Karate Club,11,64366200,True
110,Kernelization,Karate Club,11,70315200,True
111,Kernelization,Karate Club,11,64468900,True
112,Kernelization,Karate Club,11,66439600,True
113,Kernelization,Karate Club,11,64400500,True
114,Kernelization,Karate Club,11,71565700,True
115,Kernelization,Karate Club,11,69509100,True
116,Kernelization,Karate Club,11,68136500,True
117,Kernelization,Karate Club,11,63749200,True
118,Kernelization,Karate Club,11,69238200,True
119,Kernelization,Karate Club,11,70434400,True
120,Kernelization,Karate Club,11,74828800,True
121,Kernelization,Karate Club,11,72081700,True
122,Kernelization,Karate Club,11,68664000,True
123,Kernelization,Karate Club,11,65615000,True
124,Kernelization,Karate Club,11,70037700,True
125,Kernelization,Karate Club,11,71521000,True
126,Kernelization,Karate Club,11,69162400,True
127,Kernelization,Karate Club,11,69909400,True
128,Kernelization,Karate Club,11,71736600,True
129,Kernelization,Karate Club,11,65360400,True
130,Kernelization,Karate Club,11,69979600,True
131,Kernelization,Karate Club,11,69166800,True
132,Kernelization,Karate Club,11,70044100,True
133,Kernelization,Karate Club,11,67535200,True
134,Kernelization,Karate Club,11,69763000,True
135,Kernelization,Karate Club,11,72569800,True
136,Kernelization,Karate Club,11,71290200,True
137,Kernelization,Karate Club,11,69700800,True
138,Kernelization,Karate Club,11,68730100,True
139,Kernelization,Karate Club,11,77237100,True
140,Kernelization,Karate Club,11,70115300,True
141,Kernelization,Karate Club,11,70682400,True
142,Kernelization,Karate Club,11,71537800,True
143,Kernelization,Karate Club,11,67724300,True
144,Kernelization,Karate Club,11,70630600,True
145,Kernelization,Karate Club,11,66394900,True
146,Kernelization,Karate Club,11,69373500,True
147,Kernelization,Karate Club,11,68807200,True
148,Kernelization,Karate Club,11,69719800,True
149,Kernelization,Karate Club,11,71940800,True
150,Kernelization,Karate Club,11,69625900,True
151,Kernelization,Karate Club,11,90916100,True
152,Kernelization,Karate Club,11,69154400,True
153,Kernelization,Karate Club,11,72050700,True
154,Kernelization,Karate Club,11,71109600,True
155,Kernelization,Karate Club,11,64055400,True
156,Kernelization,Karate Club,11,73445400,True
157,Kernelization,Karate Club,11,68694800,True
158,Kernelization,Karate Club,11,72874100,True
159,Kernelization,Karate Club,11,64508900,True
160,Kernelization,Karate Club,11,69726300,True
161,Kernelization,Karate Club,11,66663800,True
162,Kernelization,Karate Club,11,70876200,True
163,Kernelization,Karate Club,11,72325600,True
164,Kernelization,Karate Club,11,69501900,True
165,Kernelization,Karate Club,11,70504400,True
166,Kernelization,Karate Club,11,69923300,True
167,Kernelization,Karate Club,11,74072800,True
168,Kernelization,Karate Club,11,71525600,True
169,Kernelization,Karate Club,11,64353500,True
170,Kernelization,Karate Club,11,80954100,True
171,Kernelization,Karate Club,11,64750000,True
172,Kernelization,Karate Club,11,68184300,True
173,Kernelization,Karate Club,11,64775600,True
174,Kernelization,Karate Club,11,68326300,True
175,Kernelization,Karate Club,11,69504000,True
176,Kernelization,Karate Club,11,70288800,True
177,Kernelization,Karate Club,11,66953800,True
178,Kernelization,Karate Club,11,69148500,True
179,Kernelization,Karate Club,11,64825400,True
180,Kernelization,Karate Club,11,68560700,True
181,Kernelization,Karate Club,11,66429600,True
182,Kernelization,Karate Club,11,72013000,True
183,Kernelization,Karate Club,11,64499700,True
184,Kernelization,Karate Club,11,67679000,True
185,Kernelization,Karate Club,11,64689400,True
186,Kernelization,Karate Club,11,69034000,True
187,Kernelization,Karate Club,11,65339600,True
188,Kernelization,Karate Club,11,67490300,True
189,Kernelization,Karate Club,11,64669000,True
190,Kernelization,Karate Club,11,69082800,True
191,Kernelization,Karate Club,11,68155800,True
192,Kernelization,Karate Club,11,79042200,True
193,Kernelization,Karate Club,11,64594200,True
194,Kernelization,Karate Club,11,68878400,True
195,Kernelization,Karate Club,11,63955000,True
196,Kernelization,Karate Club,11,69141000,True
197,Kernelization,Karate Club,11,64877000,True
198,Kernelization,Karate Club,11,69713400,True
199,Kernelization,Karate Club,11,69922900,True
200,Kernelization,Les Miserables,11,74347500,True
201,Kernelization,Les Miserables,11,66741800,True
202,Kernelization,Les Miserables,11,67516700,True
203,Kernelization,Les Miserables,11,64432800,True
204,Kernelization,Les Miserables,11,68914500,True
205,Kernelization,Les Miserables,11,65009200,True
206,Kernelization,Les Miserables,11,74781900,True
207,Kernelization,Les Miserables,11,71028800,True
208,Kernelization,Les Miserables,11,72547100,True
209,Kernelization,Les Miserables,11,66417500,True
210,Kernelization,Les Miserables,11,74331900,True
211,Kernelization,Les Miserables,11,68669200,True
212,Kernelization,Les Miserables,11,98402000,True
213,Kernelization,Les Miserables,11,104821000,True
214,Kernelization,Les Miserables,11,69336200,True
215,Kernelization,Les Miserables,11,64416200,True
216,Kernelization,Les Miserables,11,68931400,True
217,Kernelization,Les Miserables,11,65186200,True
218,Kernelization,Les Miserables,11,67800400,True
219,Kernelization,Les Miserables,11,66626400,True
220,Kernelization,Les Miserables,11,72693800,True
221,Kernelization,Les Miserables,11,64708000,True
222,Kernelization,Les Miserables,11,68701400,True
223,Kernelization,Les Miserables,11,65967500,True
224,Kernelization,Les Miserables,11,69959600,True
225,Kernelization,Les Miserables,11,65506500,True
226,Kernelization,Les Miserables,11,66946500,True
227,Kernelization,Les Miserables,11,65261900,True
228,Kernelization,Les Miserables,11,72215600,True
229,Kernelization,Les Miserables,11,67031500,True
230,Kernelization,Les Miserables,11,72054900,True
231,Kernelization,Les Miserables,11,67783900,True
232,Kernelization,Les Miserables,11,87072000,True
233,Kernelization,Les Miserables,11,106131300,True
234,Kernelization,Les Miserables,11,69733800,True
235,Kernelization,Les Miserables,11,65376500,True
236,Kernelization,Les Miserables,11,67772000,True
237,Kernelization,Les Miserables,11,66429200,True
238,Kernelization,Les Miserables,11,75755000,True
239,Kernelization,Les Miserables,11,65875100,True
240,Kernelization,Les Miserables,11,72900400,True
